user_id,signup_date,state,device_brand,age_group,kyc_completed,bank_linked,first_txn_date,cashback_given,churn_date
U00034,2022-11-30,telangana,Xiaomi,26-35,0,0,,0,
U00035,2021-05-15,uttarakhand,Xiaomi,26-35,0,0,,0,
U00036,2020-11-27,maharashtra,Vivo,36-45,0,0,,1,
U00037,2020-07-23,maharashtra,Vivo,26-35,1,1,2020-07-25,1,
U00038,2019-11-15,odisha,Vivo,26-35,1,1,2019-11-19,0,2020-01-26
U00039,2020-03-16,assam,Samsung,46-60,1,1,2020-03-31,1,2020-05-10
U00040,2020-11-20,rajasthan,Xiaomi,26-35,1,1,2020-11-26,0,
U00041,2019-07-29,rajasthan,Xiaomi,26-35,1,1,2019-08-05,0,
U00042,2019-07-09,tamil-nadu,Xiaomi,26-35,1,1,2019-07-27,0,
U00043,2021-02-17,bihar,Realme,26-35,1,1,2021-02-24,1,
U00044,2019-07-18,bihar,Xiaomi,18-25,0,0,,0,
U00045,2021-01-05,uttar-pradesh,Realme,36-45,1,1,2021-01-10,0,2021-03-14
U00046,2020-12-05,tamil-nadu,Xiaomi,36-45,1,1,2020-12-12,0,2021-03-04
U00047,2022-05-21,uttar-pradesh,Vivo,36-45,1,1,2022-05-23,1,2022-07-22
U00048,2020-06-25,maharashtra,Samsung,26-35,1,0,,0,
U00049,2019-03-30,maharashtra,Oppo,18-25,1,1,2019-04-04,0,
U00050,2021-07-29,uttar-pradesh,Xiaomi,36-45,1,1,2021-07-31,0,
U00051,2022-01-03,maharashtra,Oppo,46-60,0,0,,1,
U00052,2019-09-13,rajasthan,Vivo,36-45,1,0,,0,
U00053,2021-02-14,maharashtra,Samsung,46-60,0,0,,1,
U00054,2019-06-11,punjab,Vivo,18-25,0,0,,0,
U00055,2022-02-04,telangana,Xiaomi,46-60,1,1,2022-02-20,0,
U00056,2020-08-23,bihar,Apple,36-45,0,0,,0,
U00057,2022-07-11,west-bengal,Oppo,36-45,1,1,2022-07-27,0,
U00058,2022-06-20,madhya-pradesh,Xiaomi,26-35,1,1,2022-06-21,1,
U00059,2021-01-10,maharashtra,OnePlus,26-35,1,0,,0,
U00060,2022-03-28,maharashtra,Oppo,26-35,1,1,2022-04-23,1,
U00061,2020-01-29,himachal-pradesh,Xiaomi,26-35,1,1,2020-02-02,1,
U00062,2022-12-13,tamil-nadu,Samsung,18-25,1,0,,1,
U00063,2019-05-23,maharashtra,Xiaomi,18-25,0,0,,0,
U00064,2019-04-04,uttar-pradesh,Samsung,18-25,1,1,2019-04-26,1,
U00065,2022-09-16,haryana,Xiaomi,36-45,1,0,,0,
U00066,2020-04-11,uttar-pradesh,Realme,26-35,1,1,2020-05-01,1,
U00067,2020-08-15,rajasthan,Oppo,18-25,1,1,2020-08-17,0,2020-11-04
U00068,2019-06-13,madhya-pradesh,Samsung,18-25,0,0,,0,
U00069,2020-04-21,assam,OnePlus,36-45,1,1,2020-04-28,1,
U00070,2019-07-26,maharashtra,Xiaomi,26-35,0,0,,0,
U00071,2021-02-17,gujarat,Oppo,26-35,1,1,2021-03-08,0,2021-04-16
U00072,2020-07-23,delhi,Vivo,36-45,1,0,,1,
U00073,2021-07-17,uttar-pradesh,Vivo,46-60,1,1,2021-07-18,0,
U00074,2022-07-25,uttar-pradesh,Vivo,36-45,0,0,,1,
U00075,2021-01-17,maharashtra,Vivo,46-60,1,1,2021-02-02,1,
U00076,2019-11-30,gujarat,OnePlus,26-35,1,1,2019-12-08,0,
U00077,2021-01-28,tamil-nadu,Oppo,26-35,1,0,,1,
U00078,2020-12-28,telangana,Vivo,18-25,1,1,2020-12-31,1,
U00079,2020-03-05,andhra-pradesh,Motorola,18-25,1,1,2020-03-06,0,
U00080,2022-10-04,andhra-pradesh,Motorola,18-25,1,0,,0,
U00081,2020-06-30,gujarat,Realme,26-35,0,0,,0,
U00082,2022-12-08,delhi,Vivo,26-35,1,1,2022-12-09,0,2023-02-02
U00083,2022-10-31,gujarat,Xiaomi,26-35,1,1,2022-11-05,0,2022-12-15
U00084,2022-08-20,maharashtra,OnePlus,26-35,1,1,2022-08-24,1,
U00085,2019-05-27,tamil-nadu,Apple,26-35,1,1,2019-06-02,0,2019-08-20
U00086,2022-06-01,bihar,OnePlus,36-45,1,0,,1,
U00087,2022-07-24,west-bengal,Xiaomi,36-45,1,1,2022-08-14,0,
U00088,2019-12-17,madhya-pradesh,Others,26-35,1,1,2019-12-21,0,
U00089,2021-12-29,odisha,Others,18-25,0,0,,0,
U00090,2020-05-16,rajasthan,Vivo,36-45,1,0,,0,
U00091,2019-12-01,maharashtra,Xiaomi,18-25,1,1,2019-12-03,0,
U00092,2021-08-04,delhi,Oppo,26-35,1,1,2021-08-07,0,
U00093,2021-02-16,rajasthan,Oppo,18-25,1,0,,0,
U00094,2020-07-06,maharashtra,Vivo,26-35,1,1,2020-07-11,0,2020-09-20
U00095,2022-08-03,andhra-pradesh,Samsung,26-35,1,1,2022-08-24,1,
U00096,2022-11-10,andhra-pradesh,Xiaomi,36-45,1,0,,0,
U00097,2022-02-14,andhra-pradesh,Vivo,36-45,1,1,2022-03-16,1,
U00098,2020-03-25,assam,Samsung,36-45,1,1,2020-03-27,0,
U00099,2022-11-03,karnataka,Xiaomi,36-45,1,0,,1,
U00100,2020-10-26,maharashtra,Xiaomi,36-45,1,1,2020-10-30,0,
U00101,2019-04-25,odisha,Realme,36-45,1,1,2019-05-07,0,2019-07-30
U00102,2020-04-14,uttar-pradesh,Realme,18-25,1,1,2020-04-19,1,
U00103,2019-03-07,telangana,Realme,36-45,1,0,,0,
U00104,2020-10-08,uttar-pradesh,Xiaomi,18-25,1,1,2020-10-20,1,
U00105,2021-04-01,kerala,Xiaomi,46-60,0,0,,0,
U00106,2020-07-02,odisha,Samsung,18-25,1,1,2020-07-09,0,
U00107,2019-05-16,maharashtra,Others,36-45,1,1,2019-05-21,1,2019-08-13
U00108,2020-03-08,uttar-pradesh,Samsung,36-45,1,1,2020-04-07,0,2020-05-09
U00109,2022-03-07,odisha,OnePlus,26-35,1,1,2022-03-14,0,
U00110,2020-10-06,bihar,Oppo,46-60,1,1,2020-10-08,0,2020-11-07
U00111,2020-03-11,maharashtra,Xiaomi,18-25,1,1,2020-03-12,1,
U00112,2022-09-04,uttar-pradesh,Vivo,18-25,1,1,2022-09-07,1,
U00113,2021-10-19,rajasthan,Apple,18-25,0,0,,0,
U00114,2021-03-21,punjab,Xiaomi,18-25,0,0,,0,
U00115,2022-08-09,uttar-pradesh,Oppo,18-25,1,1,2022-09-05,0,
U00116,2021-07-28,telangana,Samsung,36-45,0,0,,1,
U00117,2019-10-20,maharashtra,Xiaomi,36-45,0,0,,0,
U00118,2020-06-26,rajasthan,Vivo,36-45,1,1,2020-07-18,0,
U00119,2019-10-13,telangana,Realme,26-35,0,0,,1,
U00120,2020-05-20,maharashtra,Realme,26-35,1,0,,1,
U00121,2022-02-23,uttar-pradesh,Xiaomi,26-35,0,0,,0,
U00122,2022-01-08,bihar,Samsung,18-25,0,0,,1,
U00123,2020-06-22,uttar-pradesh,Samsung,26-35,1,1,2020-07-02,0,
U00124,2022-04-12,madhya-pradesh,Apple,36-45,1,1,2022-04-15,1,2022-06-20
U00125,2021-05-27,west-bengal,Vivo,18-25,1,0,,1,
U00126,2022-04-10,gujarat,Samsung,18-25,1,0,,0,
U00127,2021-03-28,uttar-pradesh,Realme,26-35,0,0,,1,
U00128,2021-01-11,rajasthan,Motorola,36-45,0,0,,0,
U00129,2020-03-25,west-bengal,Samsung,26-35,1,1,2020-03-27,0,
U00130,2019-10-11,haryana,Others,36-45,1,1,2019-10-13,0,
U00131,2021-11-09,bihar,Vivo,46-60,1,0,,0,
U00132,2021-10-07,west-bengal,Xiaomi,26-35,1,1,2021-10-29,1,
U00133,2019-07-06,uttar-pradesh,Samsung,26-35,1,1,2019-07-17,0,2019-09-12
U00134,2019-04-07,uttar-pradesh,Vivo,46-60,1,1,2019-04-29,0,2019-07-06
U00135,2019-08-13,kerala,Apple,26-35,0,0,,1,
U00136,2019-11-10,madhya-pradesh,Oppo,18-25,1,1,2019-11-18,1,2020-02-15
U00137,2022-07-09,tamil-nadu,Xiaomi,26-35,1,0,,1,
U00138,2019-11-24,uttarakhand,Vivo,36-45,1,1,2019-12-01,1,
U00139,2022-10-25,haryana,Xiaomi,18-25,1,1,2022-10-26,0,2023-01-16
U00140,2021-05-14,madhya-pradesh,Motorola,26-35,0,0,,0,
U00141,2022-05-06,tamil-nadu,Xiaomi,46-60,0,0,,0,
U00142,2019-05-11,karnataka,Samsung,36-45,1,1,2019-05-18,0,2019-07-10
U00143,2021-02-27,jharkhand,Realme,18-25,1,1,2021-03-17,0,2021-04-19
U00144,2021-02-20,rajasthan,Xiaomi,26-35,1,0,,1,
U00145,2022-05-05,kerala,Realme,26-35,1,1,2022-05-27,0,
U00146,2021-08-16,jharkhand,Oppo,46-60,1,1,2021-08-21,1,
U00147,2021-12-19,gujarat,Vivo,36-45,1,1,2021-12-24,1,2022-02-11
U00148,2020-05-29,west-bengal,Xiaomi,18-25,1,1,2020-06-23,0,
U00149,2022-02-07,maharashtra,Samsung,26-35,1,0,,1,
U00150,2019-01-24,west-bengal,Xiaomi,26-35,1,1,2019-01-30,1,2019-04-05
U00151,2022-10-25,uttar-pradesh,Xiaomi,26-35,0,0,,1,
U00152,2019-08-23,madhya-pradesh,Samsung,26-35,1,1,2019-09-02,1,2019-10-18
U00153,2022-10-28,maharashtra,Motorola,26-35,1,1,2022-11-02,0,2023-01-22
U00154,2022-01-04,gujarat,Vivo,26-35,1,1,2022-01-06,1,
U00155,2020-06-30,gujarat,Oppo,36-45,0,0,,1,
U00156,2022-08-05,gujarat,OnePlus,36-45,1,1,2022-08-06,1,2022-10-05
U00157,2020-11-27,telangana,Vivo,18-25,1,0,,1,
U00158,2019-08-17,telangana,Oppo,18-25,1,1,2019-08-23,0,2019-10-14
U00159,2020-08-24,madhya-pradesh,Xiaomi,18-25,1,1,2020-08-28,1,
U00160,2021-06-09,west-bengal,Xiaomi,18-25,1,1,2021-06-17,1,
U00161,2019-11-20,odisha,Oppo,18-25,1,1,2019-12-10,0,
U00162,2021-07-18,andhra-pradesh,Xiaomi,26-35,1,1,2021-07-21,1,
U00163,2019-01-07,tamil-nadu,Xiaomi,18-25,1,0,,0,
U00164,2020-06-23,maharashtra,Xiaomi,18-25,1,1,2020-06-25,1,2020-08-23
U00165,2021-10-22,gujarat,Samsung,26-35,1,0,,0,
U00166,2020-01-01,uttar-pradesh,Xiaomi,26-35,0,0,,0,
U00167,2021-11-05,tamil-nadu,Samsung,36-45,1,1,2021-12-02,0,
U00168,2019-08-06,maharashtra,Realme,46-60,1,0,,0,
U00169,2022-07-04,west-bengal,Samsung,36-45,1,1,2022-07-09,0,
U00170,2020-09-03,haryana,Oppo,26-35,1,1,2020-09-06,0,
U00171,2022-08-01,tamil-nadu,Realme,36-45,1,1,2022-08-27,0,2022-10-26
U00172,2021-11-05,kerala,Samsung,26-35,1,0,,1,
U00173,2022-06-01,uttar-pradesh,Motorola,46-60,1,1,2022-06-05,1,
U00174,2020-02-12,telangana,Motorola,46-60,1,0,,1,
U00175,2019-11-10,maharashtra,Samsung,36-45,1,1,2019-12-03,0,2020-01-15
U00176,2021-02-04,karnataka,Apple,26-35,1,1,2021-02-12,1,
U00177,2019-11-27,tamil-nadu,Samsung,18-25,1,1,2019-12-18,0,
U00178,2022-01-09,uttar-pradesh,Realme,36-45,1,1,2022-02-07,1,
U00179,2021-12-22,uttar-pradesh,Others,36-45,0,0,,0,
U00180,2019-01-02,madhya-pradesh,Samsung,36-45,1,1,2019-01-04,0,
U00181,2022-05-11,maharashtra,Vivo,26-35,1,0,,0,
U00182,2020-10-25,jharkhand,Samsung,36-45,1,1,2020-11-07,0,2021-01-24
U00183,2021-09-27,bihar,Vivo,26-35,0,0,,0,
U00184,2019-02-09,tamil-nadu,Xiaomi,18-25,0,0,,1,
U00185,2019-08-18,west-bengal,Vivo,26-35,1,0,,1,
U00186,2021-01-13,telangana,Oppo,36-45,1,1,2021-01-26,0,
U00187,2020-09-21,andhra-pradesh,Samsung,36-45,0,0,,0,
U00188,2020-05-05,west-bengal,Samsung,18-25,1,0,,0,
U00189,2019-04-29,odisha,Samsung,18-25,1,1,2019-05-02,1,
U00190,2020-05-08,haryana,Samsung,18-25,1,1,2020-05-12,1,
U00191,2022-03-07,odisha,Xiaomi,26-35,1,0,,1,
U00192,2019-06-11,haryana,Motorola,18-25,0,0,,0,
U00193,2019-06-25,madhya-pradesh,Others,26-35,0,0,,1,
U00194,2021-09-22,gujarat,Samsung,26-35,1,1,2021-09-24,0,
U00195,2019-05-22,gujarat,Oppo,18-25,1,0,,0,
U00196,2021-12-26,bihar,Samsung,36-45,1,1,2021-12-28,1,
U00197,2019-09-15,odisha,Oppo,18-25,1,0,,1,
U00198,2019-09-20,maharashtra,Samsung,26-35,0,0,,1,
U00199,2022-09-13,haryana,Xiaomi,36-45,0,0,,0,
U00200,2021-08-31,punjab,Xiaomi,36-45,1,1,2021-09-03,1,
U00201,2022-01-30,maharashtra,Vivo,36-45,1,1,2022-02-02,1,
U00202,2019-12-05,west-bengal,Samsung,36-45,1,1,2019-12-06,1,2020-02-29
U00203,2020-06-26,uttarakhand,Vivo,18-25,1,1,2020-06-27,1,
U00204,2021-12-16,punjab,OnePlus,26-35,0,0,,1,
U00205,2022-05-27,maharashtra,Xiaomi,18-25,1,1,2022-05-30,1,
U00206,2021-05-16,odisha,Apple,26-35,1,1,2021-05-20,1,
U00207,2020-03-09,uttar-pradesh,Vivo,18-25,1,1,2020-03-22,0,2020-05-30
U00208,2022-01-09,maharashtra,Xiaomi,26-35,1,1,2022-01-18,1,
U00209,2022-11-13,uttar-pradesh,Samsung,18-25,1,1,2022-11-20,0,2022-12-31
U00210,2020-02-16,gujarat,Others,18-25,1,1,2020-02-19,0,
U00211,2022-12-31,kerala,Samsung,26-35,1,0,,0,
U00212,2020-09-30,karnataka,Xiaomi,18-25,1,1,2020-10-23,1,
U00213,2021-03-28,tamil-nadu,Oppo,26-35,1,0,,1,
U00214,2022-10-07,uttar-pradesh,Xiaomi,26-35,1,1,2022-11-02,0,
U00215,2022-08-23,karnataka,Motorola,46-60,1,1,2022-08-27,0,
U00216,2021-02-03,odisha,Samsung,26-35,1,0,,1,
U00217,2021-06-16,madhya-pradesh,Oppo,46-60,1,1,2021-06-17,1,2021-09-15
U00218,2021-11-25,madhya-pradesh,Apple,46-60,1,1,2021-12-24,0,
U00219,2021-07-13,karnataka,Others,26-35,1,0,,1,
U00220,2019-09-05,uttar-pradesh,Others,26-35,0,0,,0,
U00221,2020-05-22,haryana,Xiaomi,26-35,1,1,2020-06-04,0,
U00222,2020-04-05,jharkhand,Samsung,26-35,1,0,,1,
U00223,2019-05-12,maharashtra,Oppo,18-25,1,1,2019-05-22,0,2019-06-26
U00224,2020-11-23,gujarat,Xiaomi,36-45,1,0,,0,
U00225,2019-02-13,rajasthan,Samsung,18-25,1,1,2019-02-18,0,
U00226,2022-04-19,telangana,Others,18-25,1,1,2022-04-26,0,
U00227,2022-02-08,karnataka,Xiaomi,26-35,0,0,,1,
U00228,2020-04-16,west-bengal,Vivo,18-25,1,0,,0,
U00229,2022-04-20,maharashtra,Xiaomi,36-45,0,0,,1,
U00230,2020-03-27,kerala,Oppo,46-60,1,0,,0,
U00231,2019-01-15,karnataka,Oppo,18-25,0,0,,0,
U00232,2019-05-26,karnataka,Apple,46-60,1,1,2019-06-23,1,2019-08-28
U00233,2022-12-20,tamil-nadu,Motorola,36-45,1,1,2023-01-02,1,
U00234,2022-07-16,uttar-pradesh,Xiaomi,26-35,1,0,,0,
U00235,2019-05-01,kerala,Apple,26-35,1,0,,1,
U00236,2020-04-13,maharashtra,Others,26-35,1,1,2020-04-28,0,2020-06-22
U00237,2019-05-19,jharkhand,Motorola,26-35,1,1,2019-06-13,1,
U00238,2019-03-06,jharkhand,Motorola,26-35,1,1,2019-03-09,0,
U00239,2020-11-07,kerala,Vivo,36-45,1,1,2020-11-10,0,
U00240,2019-05-26,assam,Oppo,26-35,1,0,,1,
U00241,2021-11-18,bihar,Realme,18-25,0,0,,1,
U00242,2020-05-02,andhra-pradesh,Xiaomi,18-25,0,0,,0,
U00243,2020-07-24,telangana,Others,18-25,0,0,,0,
U00244,2022-10-02,maharashtra,Samsung,26-35,1,1,2022-10-30,0,
U00245,2021-09-21,madhya-pradesh,Vivo,26-35,1,1,2021-09-23,0,2021-12-12
U00246,2020-03-14,maharashtra,Vivo,26-35,0,0,,0,
U00247,2022-01-09,haryana,Apple,18-25,1,1,2022-01-24,0,
U00248,2019-09-28,haryana,Vivo,26-35,0,0,,0,
U00249,2022-03-15,maharashtra,Samsung,26-35,0,0,,0,
U00250,2022-03-26,madhya-pradesh,Samsung,18-25,0,0,,1,
U00251,2021-08-26,madhya-pradesh,Motorola,26-35,1,1,2021-09-05,0,2021-10-05
U00252,2020-05-12,gujarat,Apple,26-35,1,0,,0,
U00253,2021-08-26,maharashtra,Vivo,18-25,0,0,,1,
U00254,2021-04-13,maharashtra,Samsung,46-60,1,0,,0,
U00255,2020-01-25,west-bengal,Xiaomi,18-25,1,1,2020-02-12,1,
U00256,2019-07-13,gujarat,Vivo,18-25,1,0,,0,
U00257,2019-07-18,maharashtra,Samsung,18-25,0,0,,0,
U00258,2022-09-11,gujarat,Samsung,36-45,1,1,2022-09-22,1,
U00259,2021-06-01,punjab,Xiaomi,18-25,1,1,2021-06-19,0,
U00260,2020-12-26,haryana,Oppo,26-35,1,1,2021-01-16,1,
U00261,2021-05-17,madhya-pradesh,Vivo,36-45,1,1,2021-06-08,0,
U00262,2021-04-21,madhya-pradesh,Motorola,26-35,0,0,,0,
U00263,2021-08-14,bihar,Vivo,26-35,1,1,2021-08-16,1,
U00264,2019-04-21,uttar-pradesh,Realme,26-35,1,1,2019-04-22,0,2019-07-08
U00265,2022-10-11,uttar-pradesh,Oppo,18-25,0,0,,0,
U00266,2022-08-31,gujarat,Motorola,26-35,1,1,2022-09-02,1,
U00267,2022-08-16,rajasthan,Apple,46-60,1,1,2022-09-07,1,
U00268,2019-07-21,uttar-pradesh,Motorola,36-45,1,0,,0,
U00269,2019-05-05,madhya-pradesh,Others,18-25,1,1,2019-05-30,0,
U00270,2021-04-04,telangana,Xiaomi,26-35,1,0,,0,
U00271,2020-11-25,karnataka,Samsung,18-25,0,0,,1,
U00272,2019-08-12,karnataka,Xiaomi,26-35,0,0,,0,
U00273,2020-05-24,karnataka,Realme,26-35,0,0,,0,
U00274,2020-01-28,karnataka,Oppo,26-35,0,0,,1,
U00275,2020-01-25,tamil-nadu,OnePlus,26-35,1,1,2020-02-24,0,
U00276,2022-01-03,rajasthan,Oppo,26-35,1,0,,1,
U00277,2021-07-07,gujarat,Xiaomi,26-35,0,0,,0,
U00278,2019-10-15,gujarat,Xiaomi,18-25,1,1,2019-10-19,0,
U00279,2021-05-14,west-bengal,Xiaomi,26-35,1,0,,0,
U00280,2020-01-11,tamil-nadu,Xiaomi,18-25,0,0,,0,
U00281,2020-07-24,gujarat,Samsung,36-45,0,0,,0,
U00282,2021-08-05,gujarat,Vivo,26-35,1,1,2021-09-02,1,
U00283,2020-05-26,maharashtra,Motorola,26-35,1,1,2020-06-18,0,
U00284,2019-06-04,west-bengal,Oppo,46-60,1,1,2019-06-07,0,
U00285,2021-06-26,karnataka,Xiaomi,26-35,1,1,2021-06-29,0,
U00286,2022-02-01,maharashtra,Vivo,36-45,1,1,2022-02-10,0,2022-04-27
U00287,2019-07-20,west-bengal,Samsung,36-45,1,1,2019-07-22,0,
U00288,2019-04-14,maharashtra,Oppo,18-25,1,1,2019-04-25,0,2019-07-15
U00289,2022-08-28,rajasthan,Oppo,26-35,1,0,,0,
U00290,2022-01-12,west-bengal,Samsung,26-35,1,1,2022-01-15,1,2022-03-11
U00291,2019-01-31,delhi,Xiaomi,26-35,1,1,2019-02-07,0,
U00292,2019-07-11,gujarat,Realme,26-35,1,1,2019-07-18,0,
U00293,2020-04-29,karnataka,Samsung,26-35,0,0,,0,
U00294,2019-12-07,gujarat,OnePlus,46-60,1,1,2019-12-21,0,
U00295,2021-04-12,uttar-pradesh,Samsung,18-25,1,1,2021-04-17,0,
U00296,2021-09-21,rajasthan,Xiaomi,18-25,1,0,,0,
U00297,2021-09-12,haryana,Vivo,36-45,1,0,,0,
U00298,2020-03-13,uttar-pradesh,Vivo,18-25,1,0,,0,
U00299,2021-04-01,gujarat,Samsung,26-35,1,0,,0,
U00300,2019-05-01,west-bengal,Xiaomi,18-25,1,0,,0,
U00301,2019-12-04,karnataka,Oppo,18-25,1,1,2019-12-22,1,
U00302,2021-02-15,telangana,Samsung,18-25,1,1,2021-03-09,0,
U00303,2019-01-05,madhya-pradesh,Xiaomi,26-35,1,1,2019-02-02,1,
U00304,2021-03-10,rajasthan,OnePlus,46-60,1,1,2021-03-16,1,
U00305,2020-06-27,west-bengal,Xiaomi,26-35,1,1,2020-07-16,1,2020-10-04
U00306,2021-07-20,punjab,Xiaomi,26-35,0,0,,0,
U00307,2020-08-07,west-bengal,Xiaomi,26-35,1,0,,1,
U00308,2021-05-16,andhra-pradesh,Samsung,46-60,1,0,,0,
U00309,2022-11-27,west-bengal,Samsung,18-25,0,0,,1,
U00310,2022-02-12,madhya-pradesh,Xiaomi,26-35,1,0,,0,
U00311,2022-09-17,rajasthan,Realme,18-25,1,0,,1,
U00312,2021-09-23,kerala,Realme,26-35,1,0,,1,
U00313,2019-11-14,odisha,Xiaomi,18-25,1,1,2019-12-03,0,
U00314,2020-01-24,west-bengal,Xiaomi,18-25,0,0,,1,
U00315,2020-08-30,haryana,Realme,18-25,0,0,,1,
U00316,2020-03-21,telangana,Vivo,26-35,1,1,2020-04-02,0,
U00317,2019-04-30,rajasthan,Xiaomi,18-25,1,1,2019-05-04,1,
U00318,2022-04-01,gujarat,Realme,18-25,1,0,,1,
U00319,2022-01-15,andhra-pradesh,Realme,18-25,1,1,2022-02-05,1,
U00320,2019-05-05,jharkhand,Realme,46-60,1,1,2019-05-12,1,
U00321,2020-10-04,west-bengal,Xiaomi,46-60,1,0,,1,
U00322,2019-04-28,gujarat,Realme,36-45,1,1,2019-05-01,0,
U00323,2019-04-13,uttar-pradesh,Samsung,18-25,1,1,2019-04-27,1,
U00324,2022-04-11,madhya-pradesh,Xiaomi,26-35,1,1,2022-04-13,1,2022-05-29
U00325,2021-09-03,andhra-pradesh,Vivo,36-45,0,0,,0,
U00326,2021-10-26,jharkhand,Samsung,18-25,1,1,2021-11-20,0,
U00327,2021-12-23,tamil-nadu,Motorola,26-35,1,0,,1,
U00328,2019-11-19,bihar,Vivo,26-35,1,1,2019-11-26,0,
U00329,2019-04-27,karnataka,Oppo,26-35,1,0,,1,
U00330,2021-11-06,uttar-pradesh,Xiaomi,26-35,1,1,2021-11-07,0,2021-12-26
U00331,2019-06-14,maharashtra,Samsung,26-35,1,0,,0,
U00332,2020-01-16,haryana,Oppo,46-60,1,1,2020-01-24,0,2020-03-01
U00333,2019-05-21,rajasthan,Samsung,26-35,1,1,2019-05-25,1,
U00334,2022-05-03,karnataka,Vivo,26-35,1,1,2022-05-05,0,2022-07-10
U00335,2019-05-20,rajasthan,Samsung,26-35,1,1,2019-06-06,1,
U00336,2022-10-14,telangana,Samsung,26-35,1,1,2022-10-17,0,2022-11-27
U00337,2020-04-26,tamil-nadu,Xiaomi,18-25,0,0,,1,
U00338,2021-04-06,uttar-pradesh,Samsung,18-25,1,1,2021-04-07,0,2021-06-18
U00339,2019-09-03,maharashtra,Realme,26-35,1,1,2019-09-06,0,2019-10-21
U00340,2022-03-12,west-bengal,Xiaomi,18-25,1,1,2022-03-15,0,2022-05-24
U00341,2020-05-19,uttarakhand,Samsung,18-25,1,0,,0,
U00342,2022-03-31,west-bengal,Motorola,46-60,1,1,2022-04-07,0,
U00343,2022-05-02,jharkhand,Samsung,46-60,1,1,2022-05-15,1,2022-07-04
U00344,2019-03-23,haryana,Samsung,26-35,1,1,2019-03-29,0,
U00345,2022-06-22,uttar-pradesh,Realme,18-25,1,0,,0,
U00346,2019-06-17,haryana,Oppo,36-45,1,0,,1,
U00347,2021-05-08,maharashtra,Xiaomi,26-35,1,0,,0,
U00348,2022-09-08,gujarat,Xiaomi,36-45,1,1,2022-10-05,1,
U00349,2022-04-10,gujarat,Vivo,26-35,1,0,,1,
U00350,2022-03-03,telangana,Vivo,36-45,1,0,,1,
U00351,2021-12-06,telangana,Xiaomi,36-45,1,1,2021-12-30,0,2022-03-19
U00352,2020-10-09,karnataka,Samsung,26-35,0,0,,1,
U00353,2020-06-18,haryana,Realme,46-60,1,0,,1,
U00354,2020-02-23,uttar-pradesh,Samsung,26-35,1,0,,0,
U00355,2022-10-03,assam,Realme,46-60,1,0,,0,
U00356,2020-10-05,himachal-pradesh,Realme,18-25,1,1,2020-10-07,0,
U00357,2020-05-03,madhya-pradesh,Samsung,36-45,1,1,2020-05-06,1,2020-06-24
